account_id,account_number,document_id,account_created_at,account_primary_cnae,account_secondary_cnae,account_section_id,account_division_id,account_group_id,account_class_id,account_city,account_state,account_dominio_email,account_length_email,acccount_name_in_email,account_number_initial_email,account_number_final_email,account_number_in_email,account_settings_message,account_settings_image,fine,interest,account_email_sett_change,account_email_sett_unpaid,account_email_sett_settled,account_email_sett_charge_cancel,account_email_sett_subscription_cancel,account_email_sett_carnet_cancel
173597,2711e4335776b53193674a4166c1af47bf47dbcd8c52f3644f52e4b7a5572d9b,165528,2019-08-01 09:31:43,,,,,,,,,HOTMAIL,19,0,0,0,0,0,1,,,0,1,1,1,1,1
173603,4ee5dc6913644a969698eca237941f48c7a2473169d05e5adad73f88f26473f5,165534,2019-08-01 09:58:51,885563a6644196371f071033e99f5a72f22e0ebf73799ac117fc25bd85911b21,e0860b7c535f12f722d7b13592c6793be2662c562a6f4e8752742bc36da56925,95c9c1aff3dffd9ca3fc6a1dca4356ce8e03548973a47dec402ef519d8a581b7,1e85ab18e95b2f50e566f78f299bd5185a4e6b80fe95385d2c648cc1c64f156c,6aaa66d8aec6ba8b460b20f17acfde3ed4440b828ca466ad4d9d34d0e9309d08,1234d05a5eeb50e3d89719e17ec633bc76ff56cdbb314632ce409e7ec89352c4,,,HOTMAIL,16,1,0,0,0,0,0,,,0,1,1,1,1,1
173641,7632a27f1aface1cba762385007bb715e0694ddba00c68bbeecba94895492e0e,165569,2019-08-01 14:02:52,885563a6644196371f071033e99f5a72f22e0ebf73799ac117fc25bd85911b21,,95c9c1aff3dffd9ca3fc6a1dca4356ce8e03548973a47dec402ef519d8a581b7,1e85ab18e95b2f50e566f78f299bd5185a4e6b80fe95385d2c648cc1c64f156c,6aaa66d8aec6ba8b460b20f17acfde3ed4440b828ca466ad4d9d34d0e9309d08,1234d05a5eeb50e3d89719e17ec633bc76ff56cdbb314632ce409e7ec89352c4,,,OUTROS,8,0,0,0,0,0,0,,,0,1,1,1,1,1
173648,ec0982871b1e6565d22362d2af2f0f4fb37af10191e5217d0ee60818d08bc59c,165575,2019-08-01 14:50:26,,,,,,,ea5c1d797aac4d210b0109b333ecfaf5541af652d2c9fc41cae59660082feb3c,133b2dada85ab60038cdcba5306430dfa07d154b9e0f056968cec5a9ea4c98a7,OUTROS,6,0,0,0,0,0,1,200.0,33.0,0,1,1,1,1,1
173650,bd2a665dfd9be5e7ad07d40a27ca2fb4e9da9f6f659cd5914ed0b74dbb4e7206,165577,2019-08-01 14:58:12,242af2c91b16a7935607a429ad51f7a5c0dcc7c57f26ee3ad30e97670b19cb3a,,df88b166d8061603945fa62064a4005f4d31cbe4932ce65b2c3970f0f02e27f2,811929b0e082c75e044014794d63b63bc8546df2fb2dc8ada8ea4e2f621df9f4,f762ce6a40470a7bdcdfb4032b3293b2d87d9f5a60a2439e7f0f7090656551f3,5aa0dc6c38beb1d48b026eabc09cc6b3e44748912f67d817917de02ac777d5ff,,,OUTROS,10,0,0,0,0,0,0,,,0,1,1,1,1,1
173740,4751aa24511216951d5b81abb04316dae28a20473165e5cd1c3090896e7e6b24,165659,2019-08-02 10:10:33,65d88642e4fe581f942c00b02da8523fc4a5e7d719f4fd351275dcc01b47c5d1,,4e7f363da3abcd21bc4392d5af466d696ebc4c0205e948a0176e50053f10909f,91cb5c9c30f7d55906e65075170f659773dd69adeb61152fe755875c478f6ff0,2a161f3c6686f45d888781997803754629139a92eb978d3f1580f72b2fdcac68,757eed44a6cec9bf1bf2a3fd873c2948921dfca721bef8a41815e39d5c6a00d3,,,OUTROS,3,0,0,0,0,1,1,0.0,0.0,0,1,1,1,1,1
173766,e2e6975607542a231811aa8ab8bd1055bd5ac77e9ed96bdfdfd654a92160cd4e,165683,2019-08-02 12:34:56,,,,,,,,,HOTMAIL,16,1,0,0,0,0,0,,,0,1,1,1,1,1
173772,9d2ebfed171e0070c4b011c8bc27f947908c0143612641be15a44d622f1028d8,165688,2019-08-02 13:33:34,79f7159bfd82997e5e528a8e13a5ebe59dff7f09303ca421d632a48bb122fabf,,5b68ca527a09c2735085ed561a577bfad03a45cef67244798cd7fa003326526f,55b9d71937f55da5683f464228c72933b8fcbd81c4b706d56ce35c02e57f6942,c256a11d06399548e874e53e3137df4a4c31321b7bfb989cc71827e367b24e41,965042993ed045c62b7eb07e79f48057b22b37cf1d4c3b4e023e1f370edcf07d,81d1e8b3b0e4a9b8433c5f94ef68e19c67850cd977c066905fb03191e38512be,1322eef174acf8354e59d98787a79ac8011122e84ba8591b982e38e73dcc84dd,GMAIL,12,0,0,0,0,1,1,300.0,33.0,1,1,1,1,1,1
173776,b27d3e8b865edb92f40d478185be4c8d4f09081a72a71ee8d7c25bd11bf9b412,165691,2019-08-02 14:11:36,aa2a764c96f4d7d458a5684b53e743100f5f3c4ee2d1395a30e9ff18baf8a4c6,,af05252bc2bc7b7f053aa40f04c5722d75716701232c83178f8d58b116ac7e89,0ce830a34eec2a244bb4e7681e83bb9d425f50dead7f48bbebebd2e60134934a,6d71aa91c7677b73c3d3b5f5ccc32095b5dff0820fb9fd3e513b3e07fc840719,78834345518531bead5b8947906588464f368e2ba48cda894395bb29b2d7403e,,,GMAIL,8,0,0,0,0,0,0,200.0,33.0,0,1,1,1,1,1
173822,20e10c884c9c6bd0c16a5147f828bbcc6ee08bdefb9f0d50eddb9971c07d247e,165730,2019-08-02 19:48:05,,,,,,,,,HOTMAIL,7,0,0,0,0,0,0,500.0,33.0,0,1,1,1,1,1
